Date;Open;High;Low;Close;Volume;Adj Close
2012-01-24;586,32;587,68;578;580,93;3055800;580,93
2012-01-23;586;588,66;583,16;585,52;3412900;585,52
2012-01-20;590,53;591;581,7;585,99;10576300;585,99
2012-01-19;640,99;640,99;631,46;639,57;6276500;639,57
2012-01-18;626,63;634;622,12;632,91;2761700;632,91
2012-01-17;631,98;631,98;625,68;628,58;1909300;628,58
2012-01-13;626,26;626,95;621,06;624,99;2307300;624,99
2012-01-12;631,22;632,89;626,5;629,64;1875200;629,64
2012-01-11;623,5;629,39;621,12;625,96;2400000;625,96
2012-01-10;629,75;633,8;616,91;623,14;4395600;623,14
2012-01-09;646,5;647;621,23;622,46;5822600;622,46
2012-01-06;659,15;660;649,79;650,02;2692900;650,02
2012-01-05;662,13;663,97;656,23;659,01;3282900;659,01
2012-01-04;665,03;670,25;660,62;668,28;2864000;668,28
2012-01-03;652,94;668,15;652,37;665,41;3676500;665,41
2011-12-30;642,02;646,76;642,02;645,9;1782300;645,9
2011-12-29;641,49;643;635,2;642,4;1575400;642,4
2011-12-28;642,75;645;638,1;639,7;2127200;639,7
2011-12-27;632,05;644,49;632;640,25;1606400;640,25
2011-12-23;632;634,68;630,56;633,14;1453700;633,14
2011-12-22;627,95;631,73;627,01;629,7;1822300;629,7
2011-12-21;630,01;631,82;618,96;625,82;2497900;625,82
2011-12-20;628;631,84;627,99;630,37;2388200;630,37
2011-12-19;628,01;628,5;620;621,83;2143500;621,83
2011-12-16;624,32;629,32;621,47;625,96;4459300;625,96
2011-12-15;622,52;624;618,69;619,54;2408600;619,54
2011-12-14;621,85;624,32;612,49;618,07;3903700;618,07
2011-12-13;628,76;636,56;622,85;625,63;4028200;625,63
2011-12-12;621,88;626,18;620,29;625,39;2183900;625,39
2011-12-09;618;629,13;617,01;627,42;2766200;627,42
2011-12-08;621,04;627,45;615,3;616,05;2413100;616,05
2011-12-07;621,68;625,66;618,1;623,39;2257300;623,39
2011-12-06;622,99;628,62;620,24;623,77;2326500;623,77
2011-12-05;627,64;631,9;622,4;625,65;3197500;625,65
2011-12-02;617,05;624;616,26;620,36;4085700;620,36
2011-12-01;600;616;599;613,77;3620600;613,77
2011-11-30;597,95;599,51;592,09;599,39;3397000;599,39
2011-11-29;587,88;590,36;581,33;582,93;1831800;582,93
2011-11-28;579,37;588,82;576,5;588,19;2828900;588,19
2011-11-25;565,19;574,27;561,33;563;1562400;563
2011-11-23;575,35;580,25;570,11;570,11;2325800;570,11
2011-11-22;580;584,97;575,24;580;2405300;580
2011-11-21;587,76;588,5;572,09;580,94;3001300;580,94
2011-11-18;602;604,5;593,75;594,88;3287700;594,88
2011-11-17;610,05;612,29;596,78;600,87;3493300;600,87
2011-11-16;612,08;618,3;610,61;611,47;2608500;611,47
2011-11-15;612,8;618,08;610,5;616,56;2676000;616,56
2011-11-14;608;618,08;607,78;613;3188700;613
2011-11-11;601,3;612,09;598,6;608,35;3977000;608,35
2011-11-10;605,93;605,95;591,56;595,08;2868400;595,08
2011-11-09;604,26;609,39;598,66;600,95;3711000;600,95
2011-11-08;609;614,37;603,6;612,34;3017500;612,34
